unit,tenure,geotime,date,value
PC,RENT_FR,IE,2011-01-01,8.4 
PC,RENT_FR,IE,2012-01-01,6.3 
PC,RENT_FR,IE,2013-01-01,6.4 
PC,RENT_FR,IE,2014-01-01,6.3 
PC,RENT_FR,IE,2015-01-01,3.7 
PC,RENT_FR,IE,2016-01-01,4.2 
PC,RENT_FR,IE,2017-01-01,
PC,RENT_FR,IS,2006-01-01,3.6 
PC,RENT_FR,IS,2007-01-01,6.3 
PC,RENT_FR,IS,2008-01-01,5.1 
PC,RENT_FR,IS,2009-01-01,9.0 
PC,RENT_FR,IS,2010-01-01,6.7 
PC,RENT_FR,IS,2011-01-01,13.7 
PC,RENT_FR,IS,2012-01-01,14.0 
PC,RENT_FR,IS,2013-01-01,14.4 
PC,RENT_FR,IS,2014-01-01,13.0 
PC,RENT_FR,IS,2015-01-01,15.9 
PC,RENT_FR,IS,2016-01-01,12.8 p
PC,RENT_FR,IS,2017-01-01,
PC,RENT_FR,IT,2006-01-01,34.6 
PC,RENT_FR,IT,2007-01-01,8.2 
PC,RENT_FR,IT,2008-01-01,8.5 
PC,RENT_FR,IT,2009-01-01,8.8 
PC,RENT_FR,IT,2010-01-01,7.8 
PC,RENT_FR,IT,2011-01-01,10.1 
PC,RENT_FR,IT,2012-01-01,10.0 
PC,RENT_FR,IT,2013-01-01,10.9 
PC,RENT_FR,IT,2014-01-01,10.5 
PC,RENT_FR,IT,2015-01-01,9.9 
PC,RENT_FR,IT,2016-01-01,12.7 
PC,RENT_FR,IT,2017-01-01,10.7 
PC,RENT_FR,LT,2006-01-01,13.4 
PC,RENT_FR,LT,2007-01-01,8.8 
PC,RENT_FR,LT,2008-01-01,8.4 
PC,RENT_FR,LT,2009-01-01,10.8 
PC,RENT_FR,LT,2010-01-01,12.3 
PC,RENT_FR,LT,2011-01-01,14.1 
PC,RENT_FR,LT,2012-01-01,17.4 
PC,RENT_FR,LT,2013-01-01,11.1 
PC,RENT_FR,LT,2014-01-01,9.2 
PC,RENT_FR,LT,2015-01-01,13.4 
PC,RENT_FR,LT,2016-01-01,12.2 
PC,RENT_FR,LT,2017-01-01,14.4 
PC,RENT_FR,LU,2006-01-01,
PC,RENT_FR,LU,2007-01-01,13.4 
PC,RENT_FR,LU,2008-01-01,2.6 
PC,RENT_FR,LU,2009-01-01,4.6 
PC,RENT_FR,LU,2010-01-01,2.0 
PC,RENT_FR,LU,2011-01-01,1.6 
PC,RENT_FR,LU,2012-01-01,1.7 
PC,RENT_FR,LU,2013-01-01,4.6 
PC,RENT_FR,LU,2014-01-01,8.2 
PC,RENT_FR,LU,2015-01-01,4.0 
PC,RENT_FR,LU,2016-01-01,22.3 b
PC,RENT_FR,LU,2017-01-01,27.8 
PC,RENT_FR,LV,2006-01-01,
PC,RENT_FR,LV,2007-01-01,8.0 
PC,RENT_FR,LV,2008-01-01,10.4 
PC,RENT_FR,LV,2009-01-01,13.5 
PC,RENT_FR,LV,2010-01-01,11.7 
PC,RENT_FR,LV,2011-01-01,13.2 
PC,RENT_FR,LV,2012-01-01,12.1 
PC,RENT_FR,LV,2013-01-01,12.7 
PC,RENT_FR,LV,2014-01-01,9.7 
PC,RENT_FR,LV,2015-01-01,9.4 
PC,RENT_FR,LV,2016-01-01,8.0 
PC,RENT_FR,LV,2017-01-01,7.6 
PC,RENT_FR,MK,2006-01-01,
PC,RENT_FR,MK,2007-01-01,
PC,RENT_FR,MK,2008-01-01,
PC,RENT_FR,MK,2009-01-01,
PC,RENT_FR,MK,2010-01-01,
PC,RENT_FR,MK,2011-01-01,25.0 
PC,RENT_FR,MK,2012-01-01,25.0 
PC,RENT_FR,MK,2013-01-01,20.2 
PC,RENT_FR,MK,2014-01-01,16.8 
PC,RENT_FR,MK,2015-01-01,15.0 
PC,RENT_FR,MK,2016-01-01,18.6 
PC,RENT_FR,MK,2017-01-01,
PC,RENT_FR,MT,2006-01-01,1.6 
PC,RENT_FR,MT,2007-01-01,2.2 
PC,RENT_FR,MT,2008-01-01,3.8 
PC,RENT_FR,MT,2009-01-01,2.6 
PC,RENT_FR,MT,2010-01-01,3.7 
PC,RENT_FR,MT,2011-01-01,1.3 
PC,RENT_FR,MT,2012-01-01,3.1 
PC,RENT_FR,MT,2013-01-01,2.3 
PC,RENT_FR,MT,2014-01-01,0.7 
PC,RENT_FR,MT,2015-01-01,1.5 
PC,RENT_FR,MT,2016-01-01,0.9 
PC,RENT_FR,MT,2017-01-01,1.0 
PC,RENT_FR,NL,2006-01-01,3.8 
PC,RENT_FR,NL,2007-01-01,1.4 u
PC,RENT_FR,NL,2008-01-01,9.3 
PC,RENT_FR,NL,2009-01-01,5.9 
PC,RENT_FR,NL,2010-01-01,6.4 u
PC,RENT_FR,NL,2011-01-01,6.6 
PC,RENT_FR,NL,2012-01-01,0.0 
PC,RENT_FR,NL,2013-01-01,0.0 
PC,RENT_FR,NL,2014-01-01,14.0 
PC,RENT_FR,NL,2015-01-01,13.0 
PC,RENT_FR,NL,2016-01-01,16.4 b
PC,RENT_FR,NL,2017-01-01,5.2 
PC,RENT_FR,NO,2006-01-01,17.5 
PC,RENT_FR,NO,2007-01-01,15.1 
PC,RENT_FR,NO,2008-01-01,18.9 
PC,RENT_FR,NO,2009-01-01,14.6 
PC,RENT_FR,NO,2010-01-01,12.5 
PC,RENT_FR,NO,2011-01-01,18.2 
PC,RENT_FR,NO,2012-01-01,13.9 
PC,RENT_FR,NO,2013-01-01,14.4 
PC,RENT_FR,NO,2014-01-01,16.8 
PC,RENT_FR,NO,2015-01-01,16.2 
PC,RENT_FR,NO,2016-01-01,18.6 
PC,RENT_FR,NO,2017-01-01,14.6 
PC,RENT_FR,PL,2006-01-01,
PC,RENT_FR,PL,2007-01-01,11.3 
PC,RENT_FR,PL,2008-01-01,10.6 
PC,RENT_FR,PL,2009-01-01,8.7 
PC,RENT_FR,PL,2010-01-01,11.9 
PC,RENT_FR,PL,2011-01-01,14.4 
PC,RENT_FR,PL,2012-01-01,14.5 
PC,RENT_FR,PL,2013-01-01,13.0 
PC,RENT_FR,PL,2014-01-01,10.9 
PC,RENT_FR,PL,2015-01-01,10.9 
PC,RENT_FR,PL,2016-01-01,11.5 
PC,RENT_FR,PL,2017-01-01,8.4 
PC,RENT_FR,PT,2006-01-01,1.9 
PC,RENT_FR,PT,2007-01-01,3.0 
PC,RENT_FR,PT,2008-01-01,2.9 
PC,RENT_FR,PT,2009-01-01,4.1 
PC,RENT_FR,PT,2010-01-01,3.3 
PC,RENT_FR,PT,2011-01-01,3.1 
PC,RENT_FR,PT,2012-01-01,5.6 
PC,RENT_FR,PT,2013-01-01,6.3 
PC,RENT_FR,PT,2014-01-01,6.7 
PC,RENT_FR,PT,2015-01-01,7.6 
PC,RENT_FR,PT,2016-01-01,5.4 
PC,RENT_FR,PT,2017-01-01,5.7 
PC,RENT_FR,RO,2006-01-01,
PC,RENT_FR,RO,2007-01-01,24.4 
PC,RENT_FR,RO,2008-01-01,28.7 
PC,RENT_FR,RO,2009-01-01,25.1 
PC,RENT_FR,RO,2010-01-01,23.5 
PC,RENT_FR,RO,2011-01-01,14.5 
PC,RENT_FR,RO,2012-01-01,27.2 
PC,RENT_FR,RO,2013-01-01,23.4 
PC,RENT_FR,RO,2014-01-01,18.3 
PC,RENT_FR,RO,2015-01-01,: u
PC,RENT_FR,RO,2016-01-01,19.2 
PC,RENT_FR,RO,2017-01-01,22.2 
PC,RENT_FR,RS,2006-01-01,
PC,RENT_FR,RS,2007-01-01,
PC,RENT_FR,RS,2008-01-01,
PC,RENT_FR,RS,2009-01-01,
PC,RENT_FR,RS,2010-01-01,
PC,RENT_FR,RS,2011-01-01,
PC,RENT_FR,RS,2012-01-01,
PC,RENT_FR,RS,2013-01-01,33.1 
PC,RENT_FR,RS,2014-01-01,35.9 
PC,RENT_FR,RS,2015-01-01,32.6 
PC,RENT_FR,RS,2016-01-01,33.8 
PC,RENT_FR,RS,2017-01-01,
PC,RENT_FR,SE,2006-01-01,34.4 
PC,RENT_FR,SE,2007-01-01,17.9 
PC,RENT_FR,SE,2008-01-01,30.1 b
PC,RENT_FR,SE,2009-01-01,30.5 
PC,RENT_FR,SE,2010-01-01,31.2 
PC,RENT_FR,SE,2011-01-01,48.5 u
PC,RENT_FR,SE,2012-01-01,26.3 u
PC,RENT_FR,SE,2013-01-01,66.5 u
PC,RENT_FR,SE,2014-01-01,48.4 u
PC,RENT_FR,SE,2015-01-01,55.8 u
PC,RENT_FR,SE,2016-01-01,5.6 
PC,RENT_FR,SE,2017-01-01,0.0 
PC,RENT_FR,SI,2006-01-01,2.7 
PC,RENT_FR,SI,2007-01-01,5.5 
PC,RENT_FR,SI,2008-01-01,4.2 
PC,RENT_FR,SI,2009-01-01,5.3 
PC,RENT_FR,SI,2010-01-01,5.6 
PC,RENT_FR,SI,2011-01-01,5.6 
PC,RENT_FR,SI,2012-01-01,6.1 
PC,RENT_FR,SI,2013-01-01,6.8 
PC,RENT_FR,SI,2014-01-01,8.2 
PC,RENT_FR,SI,2015-01-01,8.2 
PC,RENT_FR,SI,2016-01-01,7.7 
PC,RENT_FR,SI,2017-01-01,7.6 
PC,RENT_FR,SK,2006-01-01,15.4 
PC,RENT_FR,SK,2007-01-01,16.3 
PC,RENT_FR,SK,2008-01-01,19.2 
PC,RENT_FR,SK,2009-01-01,9.6 
PC,RENT_FR,SK,2010-01-01,11.2 
PC,RENT_FR,SK,2011-01-01,8.9 
PC,RENT_FR,SK,2012-01-01,8.7 
PC,RENT_FR,SK,2013-01-01,11.9 
PC,RENT_FR,SK,2014-01-01,6.5 
PC,RENT_FR,SK,2015-01-01,9.1 
PC,RENT_FR,SK,2016-01-01,17.6 
PC,RENT_FR,SK,2017-01-01,21.3 
PC,RENT_FR,TR,2006-01-01,5.7 
PC,RENT_FR,TR,2007-01-01,1.2 
PC,RENT_FR,TR,2008-01-01,1.9 
PC,RENT_FR,TR,2009-01-01,2.2 
PC,RENT_FR,TR,2010-01-01,2.1 
PC,RENT_FR,TR,2011-01-01,2.0 
PC,RENT_FR,TR,2012-01-01,1.9 
PC,RENT_FR,TR,2013-01-01,2.2 
PC,RENT_FR,TR,2014-01-01,1.4 
PC,RENT_FR,TR,2015-01-01,1.9 
PC,RENT_FR,TR,2016-01-01,
PC,RENT_FR,TR,2017-01-01,
PC,RENT_FR,UK,2006-01-01,23.4 
PC,RENT_FR,UK,2007-01-01,23.1 
PC,RENT_FR,UK,2008-01-01,25.9 
PC,RENT_FR,UK,2009-01-01,26.2 
PC,RENT_FR,UK,2010-01-01,23.3 
PC,RENT_FR,UK,2011-01-01,23.9 
PC,RENT_FR,UK,2012-01-01,7.6 b
PC,RENT_FR,UK,2013-01-01,8.4 
PC,RENT_FR,UK,2014-01-01,16.0 
PC,RENT_FR,UK,2015-01-01,15.2 
PC,RENT_FR,UK,2016-01-01,16.2 
PC,RENT_FR,UK,2017-01-01,
PC,RENT_MKT,AT,2006-01-01,
PC,RENT_MKT,AT,2007-01-01,12.0 
PC,RENT_MKT,AT,2008-01-01,12.5 b
PC,RENT_MKT,AT,2009-01-01,12.9 
PC,RENT_MKT,AT,2010-01-01,14.7 
PC,RENT_MKT,AT,2011-01-01,12.0 
PC,RENT_MKT,AT,2012-01-01,17.3 
PC,RENT_MKT,AT,2013-01-01,15.5 
PC,RENT_MKT,AT,2014-01-01,15.6 
PC,RENT_MKT,AT,2015-01-01,15.3 
PC,RENT_MKT,AT,2016-01-01,15.6 
PC,RENT_MKT,AT,2017-01-01,15.5 
PC,RENT_MKT,BE,2006-01-01,32.4 
PC,RENT_MKT,BE,2007-01-01,33.0 
PC,RENT_MKT,BE,2008-01-01,30.5 
PC,RENT_MKT,BE,2009-01-01,30.5 
PC,RENT_MKT,BE,2010-01-01,28.7 
PC,RENT_MKT,BE,2011-01-01,38.1 
PC,RENT_MKT,BE,2012-01-01,37.2 
PC,RENT_MKT,BE,2013-01-01,34.0 
PC,RENT_MKT,BE,2014-01-01,38.1 
PC,RENT_MKT,BE,2015-01-01,33.7 
PC,RENT_MKT,BE,2016-01-01,35.4 
PC,RENT_MKT,BE,2017-01-01,33.9 
PC,RENT_MKT,BG,2006-01-01,42.2 
PC,RENT_MKT,BG,2007-01-01,42.1 
PC,RENT_MKT,BG,2008-01-01,36.6 
PC,RENT_MKT,BG,2009-01-01,38.1 
PC,RENT_MKT,BG,2010-01-01,30.8 
PC,RENT_MKT,BG,2011-01-01,32.8 
PC,RENT_MKT,BG,2012-01-01,48.2 
PC,RENT_MKT,BG,2013-01-01,36.3 
PC,RENT_MKT,BG,2014-01-01,40.8 
PC,RENT_MKT,BG,2015-01-01,30.8 
PC,RENT_MKT,BG,2016-01-01,50.4 b
PC,RENT_MKT,BG,2017-01-01,51.0 
PC,RENT_MKT,CH,2006-01-01,
PC,RENT_MKT,CH,2007-01-01,
PC,RENT_MKT,CH,2008-01-01,
PC,RENT_MKT,CH,2009-01-01,
PC,RENT_MKT,CH,2010-01-01,20.7 
PC,RENT_MKT,CH,2011-01-01,17.7 
PC,RENT_MKT,CH,2012-01-01,16.6 
PC,RENT_MKT,CH,2013-01-01,15.2 
PC,RENT_MKT,CH,2014-01-01,17.3 b
PC,RENT_MKT,CH,2015-01-01,17.2 
PC,RENT_MKT,CH,2016-01-01,18.2 
PC,RENT_MKT,CH,2017-01-01,
PC,RENT_MKT,CY,2006-01-01,
PC,RENT_MKT,CY,2007-01-01,11.3 
PC,RENT_MKT,CY,2008-01-01,12.5 b
PC,RENT_MKT,CY,2009-01-01,17.6 
PC,RENT_MKT,CY,2010-01-01,19.1 
PC,RENT_MKT,CY,2011-01-01,16.3 
PC,RENT_MKT,CY,2012-01-01,19.9 
PC,RENT_MKT,CY,2013-01-01,17.7 
PC,RENT_MKT,CY,2014-01-01,19.3 
PC,RENT_MKT,CY,2015-01-01,19.7 
PC,RENT_MKT,CY,2016-01-01,18.1 
PC,RENT_MKT,CY,2017-01-01,14.2 
PC,RENT_MKT,CZ,2006-01-01,29.7 
PC,RENT_MKT,CZ,2007-01-01,26.0 
PC,RENT_MKT,CZ,2008-01-01,25.4 
PC,RENT_MKT,CZ,2009-01-01,23.2 
PC,RENT_MKT,CZ,2010-01-01,31.1 
PC,RENT_MKT,CZ,2011-01-01,25.0 
PC,RENT_MKT,CZ,2012-01-01,28.2 
PC,RENT_MKT,CZ,2013-01-01,32.7 
PC,RENT_MKT,CZ,2014-01-01,29.9 
PC,RENT_MKT,CZ,2015-01-01,31.0 
PC,RENT_MKT,CZ,2016-01-01,29.3 
PC,RENT_MKT,CZ,2017-01-01,28.3 
PC,RENT_MKT,DE,2006-01-01,
PC,RENT_MKT,DE,2007-01-01,
PC,RENT_MKT,DE,2008-01-01,
PC,RENT_MKT,DE,2009-01-01,
PC,RENT_MKT,DE,2010-01-01,16.7 
PC,RENT_MKT,DE,2011-01-01,21.4 
PC,RENT_MKT,DE,2012-01-01,23.7 
PC,RENT_MKT,DE,2013-01-01,22.3 
PC,RENT_MKT,DE,2014-01-01,23.1 
PC,RENT_MKT,DE,2015-01-01,22.8 
PC,RENT_MKT,DE,2016-01-01,23.0 
PC,RENT_MKT,DE,2017-01-01,20.5 
PC,RENT_MKT,DK,2006-01-01,34.1 
PC,RENT_MKT,DK,2007-01-01,25.4 
PC,RENT_MKT,DK,2008-01-01,25.8 
PC,RENT_MKT,DK,2009-01-01,29.2 
PC,RENT_MKT,DK,2010-01-01,30.6 
PC,RENT_MKT,DK,2011-01-01,35.4 
PC,RENT_MKT,DK,2012-01-01,34.7 
PC,RENT_MKT,DK,2013-01-01,37.1 
PC,RENT_MKT,DK,2014-01-01,32.9 
PC,RENT_MKT,DK,2015-01-01,31.9 
PC,RENT_MKT,DK,2016-01-01,31.6 
PC,RENT_MKT,DK,2017-01-01,31.7 
PC,RENT_MKT,EA18,2006-01-01,
PC,RENT_MKT,EA18,2007-01-01,23.8 e
PC,RENT_MKT,EA18,2008-01-01,27.0 e
PC,RENT_MKT,EA18,2009-01-01,25.9 e
PC,RENT_MKT,EA18,2010-01-01,21.7 
PC,RENT_MKT,EA18,2011-01-01,24.8 
PC,RENT_MKT,EA18,2012-01-01,26.0 
PC,RENT_MKT,EA18,2013-01-01,25.6 
PC,RENT_MKT,EA18,2014-01-01,27.1 
PC,RENT_MKT,EA18,2015-01-01,26.4 
PC,RENT_MKT,EA18,2016-01-01,27.1 
PC,RENT_MKT,EA18,2017-01-01,24.9 e
PC,RENT_MKT,EA19,2006-01-01,
PC,RENT_MKT,EA19,2007-01-01,23.8 e
PC,RENT_MKT,EA19,2008-01-01,26.9 e
PC,RENT_MKT,EA19,2009-01-01,25.9 e
PC,RENT_MKT,EA19,2010-01-01,21.7 
PC,RENT_MKT,EA19,2011-01-01,24.8 
PC,RENT_MKT,EA19,2012-01-01,26.1 
PC,RENT_MKT,EA19,2013-01-01,25.6 
PC,RENT_MKT,EA19,2014-01-01,27.1 
PC,RENT_MKT,EA19,2015-01-01,26.4 
PC,RENT_MKT,EA19,2016-01-01,27.1 
PC,RENT_MKT,EA19,2017-01-01,24.9 e
PC,RENT_MKT,EE,2006-01-01,13.9 
PC,RENT_MKT,EE,2007-01-01,24.6 
PC,RENT_MKT,EE,2008-01-01,25.1 
PC,RENT_MKT,EE,2009-01-01,20.9 
PC,RENT_MKT,EE,2010-01-01,26.6 
PC,RENT_MKT,EE,2011-01-01,28.1 
PC,RENT_MKT,EE,2012-01-01,27.9 
PC,RENT_MKT,EE,2013-01-01,25.6 
PC,RENT_MKT,EE,2014-01-01,32.3 b
PC,RENT_MKT,EE,2015-01-01,42.3 
PC,RENT_MKT,EE,2016-01-01,28.5 
PC,RENT_MKT,EE,2017-01-01,26.6 
PC,RENT_MKT,EL,2006-01-01,
PC,RENT_MKT,EL,2007-01-01,23.6 
PC,RENT_MKT,EL,2008-01-01,68.4 
PC,RENT_MKT,EL,2009-01-01,66.5 
PC,RENT_MKT,EL,2010-01-01,36.0 
PC,RENT_MKT,EL,2011-01-01,42.7 
PC,RENT_MKT,EL,2012-01-01,53.0 
PC,RENT_MKT,EL,2013-01-01,58.3 
PC,RENT_MKT,EL,2014-01-01,87.5 
PC,RENT_MKT,EL,2015-01-01,86.8 
PC,RENT_MKT,EL,2016-01-01,84.6 
PC,RENT_MKT,EL,2017-01-01,83.9 
PC,RENT_MKT,ES,2006-01-01,
PC,RENT_MKT,ES,2007-01-01,35.9 
PC,RENT_MKT,ES,2008-01-01,43.4 
PC,RENT_MKT,ES,2009-01-01,41.4 
PC,RENT_MKT,ES,2010-01-01,43.4 
PC,RENT_MKT,ES,2011-01-01,42.7 
PC,RENT_MKT,ES,2012-01-01,44.7 
PC,RENT_MKT,ES,2013-01-01,42.3 
PC,RENT_MKT,ES,2014-01-01,47.5 
PC,RENT_MKT,ES,2015-01-01,43.3 
PC,RENT_MKT,ES,2016-01-01,43.0 
PC,RENT_MKT,ES,2017-01-01,42.1 
PC,RENT_MKT,EU27,2006-01-01,
PC,RENT_MKT,EU27,2007-01-01,25.9 e
PC,RENT_MKT,EU27,2008-01-01,28.1 e
PC,RENT_MKT,EU27,2009-01-01,28.1 e
PC,RENT_MKT,EU27,2010-01-01,24.1 
PC,RENT_MKT,EU27,2011-01-01,26.8 
PC,RENT_MKT,EU27,2012-01-01,25.8 
PC,RENT_MKT,EU27,2013-01-01,25.8 
PC,RENT_MKT,EU27,2014-01-01,28.0 
PC,RENT_MKT,EU27,2015-01-01,27.7 
PC,RENT_MKT,EU27,2016-01-01,28.0 
PC,RENT_MKT,EU27,2017-01-01,25.1 e
PC,RENT_MKT,EU28,2006-01-01,
PC,RENT_MKT,EU28,2007-01-01,
PC,RENT_MKT,EU28,2008-01-01,
PC,RENT_MKT,EU28,2009-01-01,
PC,RENT_MKT,EU28,2010-01-01,24.1 
PC,RENT_MKT,EU28,2011-01-01,26.8 
PC,RENT_MKT,EU28,2012-01-01,25.8 
PC,RENT_MKT,EU28,2013-01-01,25.9 
PC,RENT_MKT,EU28,2014-01-01,28.0 
PC,RENT_MKT,EU28,2015-01-01,27.7 
PC,RENT_MKT,EU28,2016-01-01,28.0 
PC,RENT_MKT,EU28,2017-01-01,25.1 e
PC,RENT_MKT,FI,2006-01-01,11.3 
PC,RENT_MKT,FI,2007-01-01,12.7 
PC,RENT_MKT,FI,2008-01-01,13.1 
PC,RENT_MKT,FI,2009-01-01,11.4 
PC,RENT_MKT,FI,2010-01-01,12.5 
PC,RENT_MKT,FI,2011-01-01,12.5 
PC,RENT_MKT,FI,2012-01-01,11.8 
PC,RENT_MKT,FI,2013-01-01,15.0 
PC,RENT_MKT,FI,2014-01-01,16.8 
PC,RENT_MKT,FI,2015-01-01,16.7 
PC,RENT_MKT,FI,2016-01-01,14.6 
PC,RENT_MKT,FI,2017-01-01,13.0 
PC,RENT_MKT,FR,2006-01-01,15.6 
PC,RENT_MKT,FR,2007-01-01,15.6 
PC,RENT_MKT,FR,2008-01-01,16.5 
PC,RENT_MKT,FR,2009-01-01,15.1 
PC,RENT_MKT,FR,2010-01-01,19.0 
PC,RENT_MKT,FR,2011-01-01,19.4 
PC,RENT_MKT,FR,2012-01-01,16.2 
PC,RENT_MKT,FR,2013-01-01,16.2 
PC,RENT_MKT,FR,2014-01-01,15.8 
PC,RENT_MKT,FR,2015-01-01,14.9 
PC,RENT_MKT,FR,2016-01-01,16.5 
PC,RENT_MKT,FR,2017-01-01,14.4 
PC,RENT_MKT,HR,2006-01-01,
PC,RENT_MKT,HR,2007-01-01,
PC,RENT_MKT,HR,2008-01-01,
PC,RENT_MKT,HR,2009-01-01,
PC,RENT_MKT,HR,2010-01-01,51.8 
PC,RENT_MKT,HR,2011-01-01,40.4 
PC,RENT_MKT,HR,2012-01-01,40.5 
PC,RENT_MKT,HR,2013-01-01,49.8 
PC,RENT_MKT,HR,2014-01-01,41.3 
PC,RENT_MKT,HR,2015-01-01,36.4 
PC,RENT_MKT,HR,2016-01-01,45.2 
PC,RENT_MKT,HR,2017-01-01,
PC,RENT_MKT,HU,2006-01-01,37.8 
PC,RENT_MKT,HU,2007-01-01,42.0 
PC,RENT_MKT,HU,2008-01-01,48.7 
PC,RENT_MKT,HU,2009-01-01,44.0 
PC,RENT_MKT,HU,2010-01-01,49.9 
PC,RENT_MKT,HU,2011-01-01,45.0 
PC,RENT_MKT,HU,2012-01-01,38.5 
PC,RENT_MKT,HU,2013-01-01,37.3 
PC,RENT_MKT,HU,2014-01-01,41.4 
PC,RENT_MKT,HU,2015-01-01,32.4 
PC,RENT_MKT,HU,2016-01-01,36.6 
PC,RENT_MKT,HU,2017-01-01,30.6 
PC,RENT_MKT,IE,2006-01-01,17.4 
PC,RENT_MKT,IE,2007-01-01,23.0 
PC,RENT_MKT,IE,2008-01-01,17.1 
PC,RENT_MKT,IE,2009-01-01,21.9 
PC,RENT_MKT,IE,2010-01-01,18.6 
PC,RENT_MKT,IE,2011-01-01,19.9 
PC,RENT_MKT,IE,2012-01-01,20.6 
PC,RENT_MKT,IE,2013-01-01,16.6 
PC,RENT_MKT,IE,2014-01-01,18.8 
PC,RENT_MKT,IE,2015-01-01,18.0 
PC,RENT_MKT,IE,2016-01-01,19.6 
PC,RENT_MKT,IE,2017-01-01,
PC,RENT_MKT,IS,2006-01-01,13.2 
PC,RENT_MKT,IS,2007-01-01,9.4 
PC,RENT_MKT,IS,2008-01-01,17.3 
PC,RENT_MKT,IS,2009-01-01,15.7 
PC,RENT_MKT,IS,2010-01-01,16.5 
PC,RENT_MKT,IS,2011-01-01,18.6 
PC,RENT_MKT,IS,2012-01-01,18.1 
PC,RENT_MKT,IS,2013-01-01,17.9 
PC,RENT_MKT,IS,2014-01-01,18.6 
PC,RENT_MKT,IS,2015-01-01,19.5 
PC,RENT_MKT,IS,2016-01-01,16.9 p
PC,RENT_MKT,IS,2017-01-01,
PC,RENT_MKT,IT,2006-01-01,27.6 
PC,RENT_MKT,IT,2007-01-01,28.3 
PC,RENT_MKT,IT,2008-01-01,30.3 
PC,RENT_MKT,IT,2009-01-01,29.1 
PC,RENT_MKT,IT,2010-01-01,32.6 
PC,RENT_MKT,IT,2011-01-01,34.6 
PC,RENT_MKT,IT,2012-01-01,34.2 
PC,RENT_MKT,IT,2013-01-01,34.2 
PC,RENT_MKT,IT,2014-01-01,32.4 
PC,RENT_MKT,IT,2015-01-01,32.7 
PC,RENT_MKT,IT,2016-01-01,32.2 
PC,RENT_MKT,IT,2017-01-01,28.2 
PC,RENT_MKT,LT,2006-01-01,22.6 
PC,RENT_MKT,LT,2007-01-01,32.6 
PC,RENT_MKT,LT,2008-01-01,7.8 
PC,RENT_MKT,LT,2009-01-01,27.1 
PC,RENT_MKT,LT,2010-01-01,55.5 
PC,RENT_MKT,LT,2011-01-01,56.4 
PC,RENT_MKT,LT,2012-01-01,55.7 
PC,RENT_MKT,LT,2013-01-01,23.5 
PC,RENT_MKT,LT,2014-01-01,37.3 
PC,RENT_MKT,LT,2015-01-01,30.3 
PC,RENT_MKT,LT,2016-01-01,48.3 
PC,RENT_MKT,LT,2017-01-01,42.5 
PC,RENT_MKT,LU,2006-01-01,
PC,RENT_MKT,LU,2007-01-01,13.7 
PC,RENT_MKT,LU,2008-01-01,14.3 
PC,RENT_MKT,LU,2009-01-01,13.3 
PC,RENT_MKT,LU,2010-01-01,15.1 
PC,RENT_MKT,LU,2011-01-01,13.7 
PC,RENT_MKT,LU,2012-01-01,17.1 
PC,RENT_MKT,LU,2013-01-01,21.4 
PC,RENT_MKT,LU,2014-01-01,26.3 
PC,RENT_MKT,LU,2015-01-01,23.2 
PC,RENT_MKT,LU,2016-01-01,33.8 b
PC,RENT_MKT,LU,2017-01-01,34.4 
PC,RENT_MKT,LV,2006-01-01,
PC,RENT_MKT,LV,2007-01-01,10.9 
PC,RENT_MKT,LV,2008-01-01,12.9 
PC,RENT_MKT,LV,2009-01-01,14.8 
PC,RENT_MKT,LV,2010-01-01,16.9 
PC,RENT_MKT,LV,2011-01-01,16.1 
PC,RENT_MKT,LV,2012-01-01,18.1 
PC,RENT_MKT,LV,2013-01-01,17.1 
PC,RENT_MKT,LV,2014-01-01,15.1 
PC,RENT_MKT,LV,2015-01-01,13.6 
PC,RENT_MKT,LV,2016-01-01,13.0 
PC,RENT_MKT,LV,2017-01-01,11.2 
PC,RENT_MKT,MK,2006-01-01,
PC,RENT_MKT,MK,2007-01-01,
PC,RENT_MKT,MK,2008-01-01,
PC,RENT_MKT,MK,2009-01-01,
PC,RENT_MKT,MK,2010-01-01,
PC,RENT_MKT,MK,2011-01-01,49.9 
PC,RENT_MKT,MK,2012-01-01,58.8 
PC,RENT_MKT,MK,2013-01-01,62.4 
PC,RENT_MKT,MK,2014-01-01,64.0 
PC,RENT_MKT,MK,2015-01-01,43.8 
PC,RENT_MKT,MK,2016-01-01,29.0 
PC,RENT_MKT,MK,2017-01-01,
PC,RENT_MKT,MT,2006-01-01,4.4 
PC,RENT_MKT,MT,2007-01-01,27.0 
PC,RENT_MKT,MT,2008-01-01,32.1 
PC,RENT_MKT,MT,2009-01-01,31.0 
PC,RENT_MKT,MT,2010-01-01,28.3 
PC,RENT_MKT,MT,2011-01-01,30.3 
PC,RENT_MKT,MT,2012-01-01,21.1 
PC,RENT_MKT,MT,2013-01-01,28.2 
PC,RENT_MKT,MT,2014-01-01,26.6 
PC,RENT_MKT,MT,2015-01-01,14.2 
PC,RENT_MKT,MT,2016-01-01,22.1 
PC,RENT_MKT,MT,2017-01-01,14.9 
PC,RENT_MKT,NL,2006-01-01,25.2 
PC,RENT_MKT,NL,2007-01-01,28.3 
PC,RENT_MKT,NL,2008-01-01,20.5 
PC,RENT_MKT,NL,2009-01-01,17.6 
