sex,prof_pos,sectperf,unit,geotime,date,value
T,TOTAL,TOTAL,PC_ACT_FTE,BE,2002-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,BE,2003-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,BE,2004-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,BE,2005-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,BE,2006-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,BE,2007-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,BE,2008-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,BE,2009-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,BE,2010-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,BE,2011-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,BE,2012-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,BE,2013-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,BE,2014-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,BE,2015-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,BE,2016-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,BG,2000-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,BG,2001-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,BG,2002-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,BG,2003-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,BG,2004-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,BG,2005-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,BG,2006-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,BG,2007-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,BG,2008-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,BG,2009-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,BG,2010-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,BG,2011-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,BG,2012-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,BG,2013-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,BG,2014-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,BG,2015-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,BG,2016-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,CH,2000-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,CH,2001-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,CH,2002-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,CH,2003-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,CH,2004-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,CH,2005-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,CH,2006-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,CH,2007-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,CH,2008-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,CH,2009-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,CH,2010-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,CH,2011-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,CH,2012-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,CH,2013-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,CH,2014-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,CH,2015-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,CH,2016-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,CY,2000-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,CY,2001-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,CY,2002-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,CY,2003-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,CY,2004-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,CY,2005-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,CY,2006-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,CY,2007-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,CY,2008-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,CY,2009-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,CY,2010-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,CY,2011-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,CY,2012-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,CY,2013-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,CY,2014-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,CY,2015-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,CY,2016-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,CZ,2000-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,CZ,2001-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,CZ,2002-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,CZ,2003-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,CZ,2004-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,CZ,2005-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,CZ,2006-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,CZ,2007-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,CZ,2008-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,CZ,2009-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,CZ,2010-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,CZ,2011-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,CZ,2012-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,CZ,2013-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,CZ,2014-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,CZ,2015-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,CZ,2016-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,DE,2000-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,DE,2001-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,DE,2002-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,DE,2003-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,DE,2004-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,DE,2005-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,DE,2006-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,DE,2007-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,DE,2008-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,DE,2009-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,DE,2010-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,DE,2011-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,DE,2012-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,DE,2013-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,DE,2014-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,DE,2015-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,DE,2016-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,DK,2000-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,DK,2001-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,DK,2002-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,DK,2003-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,DK,2004-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,DK,2005-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,DK,2006-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,DK,2007-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,DK,2008-01-01,2
T,TOTAL,TOTAL,PC_ACT_FTE,DK,2009-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,DK,2010-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,DK,2011-01-01,2
T,TOTAL,TOTAL,PC_ACT_FTE,DK,2012-01-01,2
T,TOTAL,TOTAL,PC_ACT_FTE,DK,2013-01-01,2
T,TOTAL,TOTAL,PC_ACT_FTE,DK,2014-01-01,2
T,TOTAL,TOTAL,PC_ACT_FTE,DK,2015-01-01,2
T,TOTAL,TOTAL,PC_ACT_FTE,DK,2016-01-01,2
T,TOTAL,TOTAL,PC_ACT_FTE,EA19,2000-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,EA19,2001-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,EA19,2002-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,EA19,2003-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,EA19,2004-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,EA19,2005-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,EA19,2006-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,EA19,2007-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,EA19,2008-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,EA19,2009-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,EA19,2010-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,EA19,2011-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,EA19,2012-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,EA19,2013-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,EA19,2014-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,EA19,2015-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,EA19,2016-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,EE,2000-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,EE,2001-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,EE,2002-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,EE,2003-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,EE,2004-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,EE,2005-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,EE,2006-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,EE,2007-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,EE,2008-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,EE,2009-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,EE,2010-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,EE,2011-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,EE,2012-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,EE,2013-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,EE,2014-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,EE,2015-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,EE,2016-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,EL,2000-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,EL,2001-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,EL,2002-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,EL,2003-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,EL,2004-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,EL,2005-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,EL,2006-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,EL,2007-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,EL,2008-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,EL,2009-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,EL,2010-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,EL,2011-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,EL,2012-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,EL,2013-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,EL,2014-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,EL,2015-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,EL,2016-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,ES,2000-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,ES,2001-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,ES,2002-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,ES,2003-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,ES,2004-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,ES,2005-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,ES,2006-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,ES,2007-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,ES,2008-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,ES,2009-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,ES,2010-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,ES,2011-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,ES,2012-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,ES,2013-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,ES,2014-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,ES,2015-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,ES,2016-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,EU28,2000-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,EU28,2001-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,EU28,2002-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,EU28,2003-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,EU28,2004-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,EU28,2005-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,EU28,2006-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,EU28,2007-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,EU28,2008-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,EU28,2009-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,EU28,2010-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,EU28,2011-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,EU28,2012-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,EU28,2013-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,EU28,2014-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,EU28,2015-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,EU28,2016-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,FI,2000-01-01,2
T,TOTAL,TOTAL,PC_ACT_FTE,FI,2001-01-01,2
T,TOTAL,TOTAL,PC_ACT_FTE,FI,2002-01-01,2
T,TOTAL,TOTAL,PC_ACT_FTE,FI,2003-01-01,2
T,TOTAL,TOTAL,PC_ACT_FTE,FI,2004-01-01,2
T,TOTAL,TOTAL,PC_ACT_FTE,FI,2005-01-01,2
T,TOTAL,TOTAL,PC_ACT_FTE,FI,2006-01-01,2
T,TOTAL,TOTAL,PC_ACT_FTE,FI,2007-01-01,2
T,TOTAL,TOTAL,PC_ACT_FTE,FI,2008-01-01,2
T,TOTAL,TOTAL,PC_ACT_FTE,FI,2009-01-01,2
T,TOTAL,TOTAL,PC_ACT_FTE,FI,2010-01-01,2
T,TOTAL,TOTAL,PC_ACT_FTE,FI,2011-01-01,2
T,TOTAL,TOTAL,PC_ACT_FTE,FI,2012-01-01,2
T,TOTAL,TOTAL,PC_ACT_FTE,FI,2013-01-01,2
T,TOTAL,TOTAL,PC_ACT_FTE,FI,2014-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,FI,2015-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,FI,2016-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,FR,2000-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,FR,2001-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,FR,2002-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,FR,2003-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,FR,2004-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,FR,2005-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,FR,2006-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,FR,2007-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,FR,2008-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,FR,2009-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,FR,2010-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,FR,2011-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,FR,2012-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,FR,2013-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,FR,2014-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,FR,2015-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,FR,2016-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,HR,2000-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,HR,2001-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,HR,2002-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,HR,2003-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,HR,2004-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,HR,2005-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,HR,2006-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,HR,2007-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,HR,2008-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,HR,2009-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,HR,2010-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,HR,2011-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,HR,2012-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,HR,2013-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,HR,2014-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,HR,2015-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,HR,2016-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,HU,2000-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,HU,2001-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,HU,2002-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,HU,2003-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,HU,2004-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,HU,2005-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,HU,2006-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,HU,2007-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,HU,2008-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,HU,2009-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,HU,2010-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,HU,2011-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,HU,2012-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,HU,2013-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,HU,2014-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,HU,2015-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,HU,2016-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,IE,2000-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,IE,2001-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,IE,2002-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,IE,2003-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,IE,2004-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,IE,2005-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,IE,2006-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,IE,2007-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,IE,2008-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,IE,2009-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,IE,2010-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,IE,2011-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,IE,2012-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,IE,2013-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,IE,2014-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,IE,2015-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,IE,2016-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,IS,2000-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,IS,2001-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,IS,2002-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,IS,2003-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,IS,2004-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,IS,2005-01-01,2
T,TOTAL,TOTAL,PC_ACT_FTE,IS,2006-01-01,2
T,TOTAL,TOTAL,PC_ACT_FTE,IS,2007-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,IS,2008-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,IS,2009-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,IS,2010-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,IS,2011-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,IS,2012-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,IS,2013-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,IS,2014-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,IS,2015-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,IS,2016-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,IT,2000-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,IT,2001-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,IT,2002-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,IT,2003-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,IT,2004-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,IT,2005-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,IT,2006-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,IT,2007-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,IT,2008-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,IT,2009-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,IT,2010-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,IT,2011-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,IT,2012-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,IT,2013-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,IT,2014-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,IT,2015-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,IT,2016-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,KR,2000-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,KR,2001-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,KR,2002-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,KR,2003-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,KR,2004-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,KR,2005-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,KR,2006-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,KR,2007-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,KR,2008-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,KR,2009-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,KR,2010-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,KR,2011-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,KR,2012-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,KR,2013-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,KR,2014-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,KR,2015-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,KR,2016-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,LT,2000-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,LT,2001-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,LT,2002-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,LT,2003-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,LT,2004-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,LT,2005-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,LT,2006-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,LT,2007-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,LT,2008-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,LT,2009-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,LT,2010-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,LT,2011-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,LT,2012-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,LT,2013-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,LT,2014-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,LT,2015-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,LT,2016-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,LU,2000-01-01,2
T,TOTAL,TOTAL,PC_ACT_FTE,LU,2001-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,LU,2002-01-01,
T,TOTAL,TOTAL,PC_ACT_FTE,LU,2003-01-01,2
T,TOTAL,TOTAL,PC_ACT_FTE,LU,2004-01-01,2
T,TOTAL,TOTAL,PC_ACT_FTE,LU,2005-01-01,2
T,TOTAL,TOTAL,PC_ACT_FTE,LU,2006-01-01,2
T,TOTAL,TOTAL,PC_ACT_FTE,LU,2007-01-01,2
T,TOTAL,TOTAL,PC_ACT_FTE,LU,2008-01-01,2
T,TOTAL,TOTAL,PC_ACT_FTE,LU,2009-01-01,2
T,TOTAL,TOTAL,PC_ACT_FTE,LU,2010-01-01,2
T,TOTAL,TOTAL,PC_ACT_FTE,LU,2011-01-01,2
T,TOTAL,TOTAL,PC_ACT_FTE,LU,2012-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,LU,2013-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,LU,2014-01-01,2
T,TOTAL,TOTAL,PC_ACT_FTE,LU,2015-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,LU,2016-01-01,1
T,TOTAL,TOTAL,PC_ACT_FTE,LV,2000-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,LV,2001-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,LV,2002-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,LV,2003-01-01,0
T,TOTAL,TOTAL,PC_ACT_FTE,LV,2004-01-01,0
